sentence,tokens,labels
Doctor prescribed Metformin 100 mg once daily,Doctor prescribed Metformin 100 mg once daily,O O B-MED I-MED I-MED O O
Doctor prescribed Losartan 650 mg once daily,Doctor prescribed Losartan 650 mg once daily,O O B-MED I-MED I-MED O O
Doctor prescribed Azithromycin 300 mg once daily,Doctor prescribed Azithromycin 300 mg once daily,O O B-MED I-MED I-MED O O
Apply Metformin ointment on the wound twice daily,Apply Metformin ointment on the wound twice daily,O B-MED O O O O O O
Consume Lisinopril after food,Consume Lisinopril after food,O B-MED O O
Inject Amoxicillin 400 units in the morning,Inject Amoxicillin 400 units in the morning,O B-MED I-MED I-MED O O O
Apply Omeprazole ointment on the wound twice daily,Apply Omeprazole ointment on the wound twice daily,O B-MED O O O O O O
Apply Paracetamol ointment on the wound twice daily,Apply Paracetamol ointment on the wound twice daily,O B-MED O O O O O O
Patient should take Cough Syrup 100 mg three times a day,Patient should take Cough Syrup 100 mg three times a day,O O O O O O O O O O O
Apply Losartan ointment on the wound twice daily,Apply Losartan ointment on the wound twice daily,O B-MED O O O O O O
Continue Omeprazole 850 mg with breakfast,Continue Omeprazole 850 mg with breakfast,O B-MED I-MED I-MED O O
Apply Amoxicillin ointment on the wound twice daily,Apply Amoxicillin ointment on the wound twice daily,O B-MED O O O O O O
Continue Amoxicillin 300 mg with breakfast,Continue Amoxicillin 300 mg with breakfast,O B-MED I-MED I-MED O O
Start Pantoprazole 500 mg for pain relief,Start Pantoprazole 500 mg for pain relief,O B-MED I-MED I-MED O O O
Inject Lisinopril 400 units in the morning,Inject Lisinopril 400 units in the morning,O B-MED I-MED I-MED O O O
Inject Vitamin B12 400 units in the morning,Inject Vitamin B12 400 units in the morning,O O O O O O O O
Inject Cough Syrup 500 units in the morning,Inject Cough Syrup 500 units in the morning,O O O O O O O O
Start Metformin 650 mg for pain relief,Start Metformin 650 mg for pain relief,O B-MED I-MED I-MED O O O
Use Lisinopril before bedtime,Use Lisinopril before bedtime,O B-MED O O
Use Ranitidine before bedtime,Use Ranitidine before bedtime,O B-MED O O
Take Cough Syrup 300 mg twice daily,Take Cough Syrup 300 mg twice daily,O O O O O O O
Take Insulin 850 mg twice daily,Take Insulin 850 mg twice daily,O B-MED I-MED I-MED O O
Doctor prescribed Ibuprofen 400 mg once daily,Doctor prescribed Ibuprofen 400 mg once daily,O O B-MED I-MED I-MED O O
Take Atorvastatin for 5 days,Take Atorvastatin for 5 days,O B-MED O O O
Take Ibuprofen for 5 days,Take Ibuprofen for 5 days,O B-MED O O O
Patient should take Pantoprazole 300 mg three times a day,Patient should take Pantoprazole 300 mg three times a day,O O O B-MED I-MED I-MED O O O O
Apply Ranitidine ointment on the wound twice daily,Apply Ranitidine ointment on the wound twice daily,O B-MED O O O O O O
Continue Cetirizine 500 mg with breakfast,Continue Cetirizine 500 mg with breakfast,O B-MED I-MED I-MED O O
Doctor prescribed Lisinopril 300 mg once daily,Doctor prescribed Lisinopril 300 mg once daily,O O B-MED I-MED I-MED O O
Consume Dolo 650 after food,Consume Dolo 650 after food,O O O O O
Doctor prescribed Ibuprofen 650 mg once daily,Doctor prescribed Ibuprofen 650 mg once daily,O O B-MED I-MED I-MED O O
Doctor prescribed Pantoprazole 300 mg once daily,Doctor prescribed Pantoprazole 300 mg once daily,O O B-MED I-MED I-MED O O
Doctor prescribed Metformin 850 mg once daily,Doctor prescribed Metformin 850 mg once daily,O O B-MED I-MED I-MED O O
Apply Metformin ointment on the wound twice daily,Apply Metformin ointment on the wound twice daily,O B-MED O O O O O O
Take Insulin for 5 days,Take Insulin for 5 days,O B-MED O O O
Continue Insulin 650 mg with breakfast,Continue Insulin 650 mg with breakfast,O B-MED I-MED I-MED O O
Consume Losartan after food,Consume Losartan after food,O B-MED O O
Use Vitamin D before bedtime,Use Vitamin D before bedtime,O O O O O
Use Dolo 650 before bedtime,Use Dolo 650 before bedtime,O O O O O
Inject Cough Syrup 850 units in the morning,Inject Cough Syrup 850 units in the morning,O O O O O O O O
